merchant,prediction_date,risk_score,alert,previous_7d_average_transaction_amount,previous_7d_maximum_transaction_amount,previous_7d_total_transaction_amount,previous_14d_transaction_count,previous_14d_fraud_rate,previous_7d_transaction_count_change,explanation
fraud_Kuhn LLC,2020-06-08,0.9119676391320598,1,59.96521739130437,810.62,2758.400000000001,104.0,0.019230769230769232,-12.0,Historical evidence only: prior 7-day average transaction amount 59.97; prior 7-day maximum transaction amount 810.62; prior 7-day total transaction amount 2758.40; prior 14-day transaction count 104; prior 14-day fraud rate 0.019231; recent 7-day transaction-count change versus the preceding 7 days -12.
fraud_Kilback LLC,2020-05-06,0.8979580767060842,1,90.28794871794872,324.8,3521.23,92.0,0.021739130434782608,-14.0,Historical evidence only: prior 7-day average transaction amount 90.29; prior 7-day maximum transaction amount 324.80; prior 7-day total transaction amount 3521.23; prior 14-day transaction count 92; prior 14-day fraud rate 0.021739; recent 7-day transaction-count change versus the preceding 7 days -14.
fraud_Kilback LLC,2020-05-29,0.8961113440028069,1,94.13454545454545,320.85,5177.4,109.0,0.01834862385321101,1.0,Historical evidence only: prior 7-day average transaction amount 94.13; prior 7-day maximum transaction amount 320.85; prior 7-day total transaction amount 5177.40; prior 14-day transaction count 109; prior 14-day fraud rate 0.018349; recent 7-day transaction-count change versus the preceding 7 days 1.
"fraud_Schoen, Kuphal and Nitzsche",2020-05-14,0.8943437291916707,1,109.50850000000003,236.59,2190.1700000000005,51.0,0.058823529411764705,-11.0,Historical evidence only: prior 7-day average transaction amount 109.51; prior 7-day maximum transaction amount 236.59; prior 7-day total transaction amount 2190.17; prior 14-day transaction count 51; prior 14-day fraud rate 0.058824; recent 7-day transaction-count change versus the preceding 7 days -11.
fraud_Doyle Ltd,2020-05-14,0.8939685549186512,1,109.05592592592592,216.28,2944.5099999999998,59.0,0.05084745762711865,-5.0,Historical evidence only: prior 7-day average transaction amount 109.06; prior 7-day maximum transaction amount 216.28; prior 7-day total transaction amount 2944.51; prior 14-day transaction count 59; prior 14-day fraud rate 0.050847; recent 7-day transaction-count change versus the preceding 7 days -5.
fraud_Doyle Ltd,2020-05-13,0.8932311050406587,1,107.26071428571429,216.28,3003.3,59.0,0.05084745762711865,-3.0,Historical evidence only: prior 7-day average transaction amount 107.26; prior 7-day maximum transaction amount 216.28; prior 7-day total transaction amount 3003.30; prior 14-day transaction count 59; prior 14-day fraud rate 0.050847; recent 7-day transaction-count change versus the preceding 7 days -3.
fraud_Kiehn Inc,2020-05-14,0.8932311050406587,1,115.27607142857143,215.6,3227.73,59.0,0.05084745762711865,-3.0,Historical evidence only: prior 7-day average transaction amount 115.28; prior 7-day maximum transaction amount 215.60; prior 7-day total transaction amount 3227.73; prior 14-day transaction count 59; prior 14-day fraud rate 0.050847; recent 7-day transaction-count change versus the preceding 7 days -3.
fraud_Barton Inc,2020-06-06,0.8902732848534566,1,113.32400000000001,232.7,6799.4400000000005,92.0,0.0,28.0,Historical evidence only: prior 7-day average transaction amount 113.32; prior 7-day maximum transaction amount 232.70; prior 7-day total transaction amount 6799.44; prior 14-day transaction count 92; prior 14-day fraud rate 0.000000; recent 7-day transaction-count change versus the preceding 7 days 28.
fraud_Kuhn LLC,2020-06-14,0.8881437083701591,1,81.11377358490569,1376.04,4299.030000000002,103.0,0.019417475728155338,3.0,Historical evidence only: prior 7-day average transaction amount 81.11; prior 7-day maximum transaction amount 1376.04; prior 7-day total transaction amount 4299.03; prior 14-day transaction count 103; prior 14-day fraud rate 0.019417; recent 7-day transaction-count change versus the preceding 7 days 3.
fraud_Cormier LLC,2020-06-09,0.886770449152636,1,122.90820000000004,2700.77,6145.410000000002,104.0,0.019230769230769232,-4.0,Historical evidence only: prior 7-day average transaction amount 122.91; prior 7-day maximum transaction amount 2700.77; prior 7-day total transaction amount 6145.41; prior 14-day transaction count 104; prior 14-day fraud rate 0.019231; recent 7-day transaction-count change versus the preceding 7 days -4.
fraud_Schumm PLC,2020-06-05,0.8833442955869206,1,79.04354166666667,1088.48,3794.09,105.0,0.01904761904761905,-9.0,Historical evidence only: prior 7-day average transaction amount 79.04; prior 7-day maximum transaction amount 1088.48; prior 7-day total transaction amount 3794.09; prior 14-day transaction count 105; prior 14-day fraud rate 0.019048; recent 7-day transaction-count change versus the preceding 7 days -9.
"fraud_Schoen, Kuphal and Nitzsche",2020-05-13,0.8832803565892337,1,118.67124999999999,236.59,2848.1099999999997,51.0,0.058823529411764705,-3.0,Historical evidence only: prior 7-day average transaction amount 118.67; prior 7-day maximum transaction amount 236.59; prior 7-day total transaction amount 2848.11; prior 14-day transaction count 51; prior 14-day fraud rate 0.058824; recent 7-day transaction-count change versus the preceding 7 days -3.
"fraud_Weimann, Kuhic and Beahan",2020-06-09,0.8829893409989842,1,85.36046511627909,989.86,3670.5000000000005,96.0,0.020833333333333332,-10.0,Historical evidence only: prior 7-day average transaction amount 85.36; prior 7-day maximum transaction amount 989.86; prior 7-day total transaction amount 3670.50; prior 14-day transaction count 96; prior 14-day fraud rate 0.020833; recent 7-day transaction-count change versus the preceding 7 days -10.
"fraud_Weimann, Kuhic and Beahan",2020-06-10,0.8730143575052991,1,81.50279069767443,989.86,3504.6200000000003,97.0,0.020618556701030927,-11.0,Historical evidence only: prior 7-day average transaction amount 81.50; prior 7-day maximum transaction amount 989.86; prior 7-day total transaction amount 3504.62; prior 14-day transaction count 97; prior 14-day fraud rate 0.020619; recent 7-day transaction-count change versus the preceding 7 days -11.
fraud_Doyle Ltd,2020-05-11,0.8723314101498485,1,121.29583333333333,290.48,2911.1,55.0,0.05454545454545454,-7.0,Historical evidence only: prior 7-day average transaction amount 121.30; prior 7-day maximum transaction amount 290.48; prior 7-day total transaction amount 2911.10; prior 14-day transaction count 55; prior 14-day fraud rate 0.054545; recent 7-day transaction-count change versus the preceding 7 days -7.
fraud_Bradtke PLC,2020-06-08,0.8723155986996463,1,112.70522727272727,237.41,4959.03,89.0,0.02247191011235955,-1.0,Historical evidence only: prior 7-day average transaction amount 112.71; prior 7-day maximum transaction amount 237.41; prior 7-day total transaction amount 4959.03; prior 14-day transaction count 89; prior 14-day fraud rate 0.022472; recent 7-day transaction-count change versus the preceding 7 days -1.
fraud_Stracke-Lemke,2020-05-31,0.8715659782944313,1,109.9321212121212,386.1,3627.7599999999998,67.0,0.05970149253731343,-1.0,Historical evidence only: prior 7-day average transaction amount 109.93; prior 7-day maximum transaction amount 386.10; prior 7-day total transaction amount 3627.76; prior 14-day transaction count 67; prior 14-day fraud rate 0.059701; recent 7-day transaction-count change versus the preceding 7 days -1.
fraud_Kuhn LLC,2020-06-13,0.8708688290847104,1,81.15280000000003,1376.04,4057.6400000000012,100.0,0.02,0.0,Historical evidence only: prior 7-day average transaction amount 81.15; prior 7-day maximum transaction amount 1376.04; prior 7-day total transaction amount 4057.64; prior 14-day transaction count 100; prior 14-day fraud rate 0.020000; recent 7-day transaction-count change versus the preceding 7 days 0.
fraud_Cormier LLC,2020-05-25,0.8682451053914836,1,65.90470588235296,626.79,3361.140000000001,104.0,0.019230769230769232,-2.0,Historical evidence only: prior 7-day average transaction amount 65.90; prior 7-day maximum transaction amount 626.79; prior 7-day total transaction amount 3361.14; prior 14-day transaction count 104; prior 14-day fraud rate 0.019231; recent 7-day transaction-count change versus the preceding 7 days -2.
fraud_Kuhn LLC,2020-05-31,0.8674254440659944,1,60.47823529411768,656.0,3084.3900000000017,108.0,0.018518518518518517,-6.0,Historical evidence only: prior 7-day average transaction amount 60.48; prior 7-day maximum transaction amount 656.00; prior 7-day total transaction amount 3084.39; prior 14-day transaction count 108; prior 14-day fraud rate 0.018519; recent 7-day transaction-count change versus the preceding 7 days -6.
fraud_Doyle Ltd,2020-05-09,0.8670486461165585,1,111.40416666666668,290.48,2673.7000000000003,54.0,0.05555555555555555,-6.0,Historical evidence only: prior 7-day average transaction amount 111.40; prior 7-day maximum transaction amount 290.48; prior 7-day total transaction amount 2673.70; prior 14-day transaction count 54; prior 14-day fraud rate 0.055556; recent 7-day transaction-count change versus the preceding 7 days -6.
