merchant,prediction_date,risk_score,alert
fraud_Kuhn LLC,2020-06-08,0.9119676391320598,1
fraud_Kilback LLC,2020-05-06,0.8979580767060842,1
fraud_Kilback LLC,2020-05-29,0.8961113440028069,1
"fraud_Schoen, Kuphal and Nitzsche",2020-05-14,0.8943437291916707,1
fraud_Doyle Ltd,2020-05-14,0.8939685549186512,1
fraud_Doyle Ltd,2020-05-13,0.8932311050406587,1
fraud_Kiehn Inc,2020-05-14,0.8932311050406587,1
fraud_Barton Inc,2020-06-06,0.8902732848534566,1
fraud_Kuhn LLC,2020-06-14,0.8881437083701591,1
fraud_Cormier LLC,2020-06-09,0.886770449152636,1
fraud_Schumm PLC,2020-06-05,0.8833442955869206,1
"fraud_Schoen, Kuphal and Nitzsche",2020-05-13,0.8832803565892337,1
"fraud_Weimann, Kuhic and Beahan",2020-06-09,0.8829893409989842,1
"fraud_Weimann, Kuhic and Beahan",2020-06-10,0.8730143575052991,1
fraud_Doyle Ltd,2020-05-11,0.8723314101498485,1
fraud_Bradtke PLC,2020-06-08,0.8723155986996463,1
fraud_Stracke-Lemke,2020-05-31,0.8715659782944313,1
fraud_Kuhn LLC,2020-06-13,0.8708688290847104,1
fraud_Cormier LLC,2020-05-25,0.8682451053914836,1
fraud_Kuhn LLC,2020-05-31,0.8674254440659944,1
fraud_Doyle Ltd,2020-05-09,0.8670486461165585,1
fraud_Doyle Ltd,2020-05-10,0.8670486461165585,1
fraud_Kilback LLC,2020-05-18,0.8669549741406254,1
fraud_Torphy-Goyette,2020-05-18,0.8669011825471871,1
fraud_Goodwin-Nitzsche,2020-06-13,0.8667214601424678,1
fraud_Kilback LLC,2020-05-07,0.8658138234830598,1
fraud_Barton Inc,2020-06-02,0.8645361003785829,1
fraud_Cormier LLC,2020-06-10,0.864409766327181,1
fraud_Kuhn LLC,2020-06-05,0.8640572307202806,1
"fraud_Mosciski, Gislason and Mertz",2020-05-16,0.8635047338688971,1
fraud_Schumm PLC,2020-05-15,0.8623735233133759,1
"fraud_Weimann, Kuhic and Beahan",2020-06-11,0.8617627191219205,1
fraud_Heidenreich PLC,2020-06-06,0.8612851219953603,1
fraud_Rutherford-Mertz,2020-05-21,0.8603874586650251,1
fraud_Miller-Hauck,2020-06-13,0.8597100857052729,1
fraud_Cormier LLC,2020-06-11,0.8595984983101194,1
fraud_Barton Inc,2020-06-10,0.8595661682890338,1
fraud_Schumm PLC,2020-05-26,0.8587422111015006,1
fraud_Schumm PLC,2020-06-08,0.8585330628610613,1
"fraud_Moen, Reinger and Murphy",2020-05-02,0.8578758587694663,1
